Latitude,Longitude,CustType
-6.7971123,39.2336791,personal
-6.7742732,39.2334023,corporate
-6.7916814,39.2703838,personal
-6.811942175,39.20726454,personal
-6.7405999,39.1489979,personal
-6.6838231,39.1861814,personal
-6.8016335,39.2315656,personal
-6.830336254,39.25617743,personal
-6.6614771,39.2003461,personal
-3.6251732,30.585714,personal
-6.759063042,39.19576942,personal
-6.6173653,39.1235548,personal
-6.805818035,39.24388374,personal
-5.130844925,32.03865423,personal
-6.8090633,39.2219019,personal
-6.7925196,39.2086751,personal
-6.782024377,39.14277438,personal
-6.8305242,39.2613577,personal
-6.631617,39.188174,personal
-6.369028,34.888822,personal
-6.738872538,39.17850411,personal
-6.7528328,39.0492691,personal
-6.7816221,39.0927511,personal
-6.810562619,39.23003335,personal
-6.9047966,39.2510121,personal
-6.7808183,39.194695,personal
-6.782328607,39.24728082,personal
-6.7891948,39.2376987,personal
-6.791637,39.1910279,personal
-6.7271028,39.1619573,personal
-6.802081534,39.23523277,personal
-6.7414821,39.0881198,personal
-6.661474589,39.20034528,personal
-6.7398967,39.19221,personal
-6.7405999,39.1489979,personal
-6.7271309,39.2071368,personal
-6.369028,34.888822,personal
-6.796989,39.1175172,personal
-6.77385,39.1129312,personal
-6.702457405,39.11471844,personal
-6.7851658,39.2574864,personal
-6.756094291,39.23329353,corporate
-6.8107874,39.2596277,personal
-6.8038095,39.166302,personal
-6.7231168,39.2299377,personal
-6.8197286,39.2729993,personal
-6.7231168,39.2299377,personal
-6.794076227,39.20601201,personal
-6.7231951,39.1427885,personal
-6.8197286,39.2729993,personal
-6.811502607,39.27402381,corporate
-6.790283772,39.25034704,personal
-6.8016344,39.2463691,personal
-6.7131569,39.2020008,personal
-6.7049485,39.2133288,personal
-6.704927738,39.21328622,personal
-6.77906995,39.15473248,personal
-6.812569611,39.26260471,personal
-6.631617,39.188174,personal
-6.7271309,39.2071368,personal
-6.8207991,39.2632744,personal
-6.8207991,39.2632744,personal
-6.8016344,39.2463691,personal
-6.8197286,39.2729993,corporate
-6.9275886,39.1335549,personal
-6.8038095,39.166302,personal
-6.802858,39.2557012,personal
-6.7319096,39.2206093,personal
-6.8107874,39.2596277,personal
-6.810923957,39.26088537,personal
-6.7904705,39.2506594,personal
-6.6173653,39.1235548,personal
-6.9275886,39.1335549,personal
-6.9275886,39.1335549,personal
-6.9275886,39.1335549,corporate
-6.816246701,39.07350525,corporate
-6.7971123,39.2336791,personal
-6.927534501,39.13355827,corporate
-6.8107874,39.2596277,personal
-6.369028,34.888822,personal
-6.80579221,39.22406901,personal
-6.774272907,39.23340082,corporate
-6.723273696,39.23008257,personal
-6.799723676,39.20480967,personal
-6.7771457,39.2229121,personal
-6.78793,39.0487222,personal
-6.8208371,39.2843636,corporate
-6.7414821,39.0881198,personal
-6.738855271,39.08723116,personal
-6.6614771,39.2003461,personal
-6.7575038,39.1951781,personal
-6.790748615,39.25266041,personal
-6.369028,34.888822,personal
-6.737916967,39.16732405,personal
-6.7849574,39.1982426,personal
-6.810753388,39.22243379,personal
-6.8207991,39.2632744,personal
-6.812746887,39.16578001,personal
-6.759012098,39.18250441,personal
-6.6674245,39.2095089,personal
-6.7543728,39.2408694,personal
-6.6252369,39.1156478,personal
-6.7231168,39.2299377,personal
-6.7405999,39.1489979,personal
-6.8062285,39.2608391,personal
-6.7405999,39.1489979,personal
-6.8197286,39.2729993,personal
-6.7995696,39.2303353,personal
-6.797823246,39.21362886,personal
-6.8107874,39.2596277,corporate
-6.7053324,39.1127352,personal
-6.7473712,39.2816971,personal
-6.6423873,39.1779296,personal
-6.7405999,39.1489979,personal
-6.7503545,39.116503,personal
-6.7405999,39.1489979,personal
-6.7829438,39.2245606,corporate
-6.7971123,39.2336791,personal
-6.7055054,39.1689491,personal
-6.672362792,39.12784629,personal
-6.8234998,39.2799207,personal
-6.7774231,39.2404848,personal
-6.8121067,39.256595,personal
-6.7271309,39.2071368,personal
-6.7620444,39.2418168,corporate
-6.7405999,39.1489979,corporate
-6.707964368,39.21328135,personal
-6.7131183,39.2167135,personal
-6.8107874,39.2596277,personal
-6.7872083,39.145355,personal
-6.8085229,39.2623598,personal
-6.75764702,39.19539804,personal
-6.7924,39.2083,corporate
-6.8197286,39.2729993,personal
-6.8729697,39.2441614,personal
-6.799668552,39.21409965,personal
-6.740613458,39.14923393,personal
-6.809169312,39.28467486,personal
-6.7620444,39.2418168,personal
-6.7405999,39.1489979,personal
-6.78627455,39.16758058,personal
-6.8038095,39.166302,personal
-6.7478505,39.1183509,personal
-6.906605785,39.25276637,corporate
-6.7517942,39.1233282,personal
-6.7904705,39.2506594,corporate
-6.770775779,39.23537594,personal
-6.8038095,39.166302,personal
-6.8197286,39.2729993,personal
-6.7925196,39.2086751,personal
-6.7995944,39.1907433,personal
-6.8090633,39.2219019,personal
-6.8143129,39.2606774,personal
-6.7455137,39.1654848,personal
-6.614028048,38.76493589,corporate
-6.7613591,39.0802587,personal
